Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.08      0.09     0.09  1100734     0.00     0.00  rb_tree_search(rb_tree*, void*)
 12.51      0.16     0.07 33497620     0.00     0.00  dis_interval_compare(void const*, void const*)
  6.25      0.20     0.04  1103165     0.00     0.00  boost::icl::dynamic_interval_traits<boost::icl::discrete_interval<int, std::less> >::construct_bounded(boost::icl::bounded_value<int> const&, boost::icl::bounded_value<int> const&)
  3.57      0.22     0.02 14829190     0.00     0.00  boost::icl::interval_bounds::interval_bounds(unsigned char)
  3.57      0.24     0.02  6343029     0.00     0.00  boost::enable_if<boost::icl::is_interval<boost::icl::discrete_interval<int, std::less> >, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type>::type boost::icl::upper<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  3.57      0.26     0.02  2898429     0.00     0.00  boost::enable_if<boost::icl::is_interval<boost::icl::discrete_interval<int, std::less> >, bool>::type boost::icl::domain_less_equal<boost::icl::discrete_interval<int, std::less> >(boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type const&, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type const&)
  3.57      0.28     0.02  2898429     0.00     0.00  boost::enable_if<boost::icl::is_discrete_interval<boost::icl::discrete_interval<int, std::less> >, bool>::type boost::icl::is_empty<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  3.57      0.30     0.02  1170842     0.00     0.00  boost::enable_if<boost::icl::is_interval<boost::icl::discrete_interval<int, std::less> >, bool>::type boost::icl::domain_less<boost::icl::discrete_interval<int, std::less> >(boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type const&, boost::icl::interval_traits<boost::icl::discrete_interval<int, std::less> >::domain_type const&)
  2.68      0.31     0.02   551707     0.00     0.00  boost::enable_if<boost::icl::has_dynamic_bounds<boost::icl::discrete_interval<int, std::less> >, boost::icl::discrete_interval<int, std::less>::bounded_domain_type>::type boost::icl::bounded_lower<boost::icl::discrete_interval<int, std::less> >(boost::icl::discrete_interval<int, std::less> const&)
  1.79      0.32     0.01 11515714     0.00     0.00  boost::icl::discrete_interval<int, std::less>::bounds() const
  1.79      0.33     0.01  5796858     0.00     0.00  boost::icl::operator==(boost::icl::interval_bounds, boost::icl::interval_bounds)
